2025/07/23 11:59:22 bluetoothctl is available
2025/07/23 11:59:23 chmod:WPA2
2025/07/23 11:59:24 connection pairing started
2025/07/23 11:59:30 connection pairing started
2025/07/23 11:59:32 connection pairing started
2025/07/23 11:59:35 connection pairing started
2025/07/23 11:59:38 connection pairing started
2025/07/23 12:00:10 connection pairing started
2025/07/23 12:00:11 connection pairing started
2025/07/23 12:00:12 connection pairing started
2025/07/23 12:00:12 connection pairing started
